epoch,train_loss,val_psnr
1,0.015920917097246273,29.583877563476562
2,0.0007481374056078493,32.113441467285156
3,0.0005780715285800398,33.09639358520508
4,0.00037907448480837045,35.76620864868164
5,0.00026630213775206355,35.2468147277832
6,0.0002000044024316594,37.81928634643555
7,0.000210776784515474,37.4801025390625
8,0.0001696563480072655,37.987388610839844
9,0.00013865942775737495,39.30732345581055
10,0.00018292985609150492,38.233009338378906
11,0.0001380199940467719,39.81704330444336
12,0.00013342489110073074,37.78217697143555
13,0.00011057983516366221,37.37470626831055
14,0.00016224525650613942,40.00657653808594
15,0.00010599582674331032,40.35639190673828
16,9.100571071030572e-05,39.5592041015625
17,9.491497039562091e-05,40.337459564208984
18,9.319466975284741e-05,39.358253479003906
19,8.78442611428909e-05,41.00774383544922
20,9.415948137757368e-05,40.7108154296875
